repo,branch,alias
https://github.com/euclidianAce/BetterLua.vim/,,
https://github.com/vim-scripts/BufOnly.vim/,,
https://github.com/jackMort/ChatGPT.nvim/,,
https://github.com/chrisbra/CheckAttach/,,
https://github.com/vim-scripts/Colour-Sampler-Pack/,,
https://github.com/CopilotC-Nvim/CopilotChat.nvim/,,
https://github.com/whonore/Coqtail/,,
https://github.com/vim-scripts/DoxygenToolkit.vim/,,
https://github.com/numToStr/FTerm.nvim/,,
https://github.com/antoinemadec/FixCursorHold.nvim/,,
https://github.com/vim-scripts/Improved-AnsiEsc/,,
https://github.com/ionide/Ionide-vim/,,
https://github.com/martinda/Jenkinsfile-vim-syntax/,,
https://github.com/vigoux/LanguageTool.nvim/,,
https://github.com/LazyVim/LazyVim/,,
https://github.com/Yggdroot/LeaderF/,,
https://github.com/molleweide/LuaSnip-snippets.nvim/,,
https://github.com/Valloric/MatchTagAlways/,,
https://github.com/numToStr/Navigator.nvim/,,
https://github.com/overcache/NeoSolarized/,,
https://github.com/GCBallesteros/NotebookNavigator.nvim/,,
https://github.com/chrisbra/NrrwRgn/,,
https://github.com/vim-scripts/PreserveNoEOL/,,
https://github.com/henriklovhaug/Preview.nvim/,,
https://github.com/yssl/QFEnter/,,
https://github.com/chrisbra/Recover.vim/,,
https://github.com/vim-scripts/Rename/,,
https://github.com/vim-scripts/ReplaceWithRegister/,,
https://github.com/b0o/SchemaStore.nvim/,,
https://github.com/sunjon/Shade.nvim/,,
https://github.com/vim-scripts/ShowMultiBase/,,
https://github.com/tmhedberg/SimpylFold/,,
https://github.com/vim-scripts/SmartCase/,,
https://github.com/jaredgorski/SpaceCamp/,,
https://github.com/chrisbra/SudoEdit.vim/,,
https://github.com/hsitz/VimOrganizer/,,
https://github.com/VundleVim/Vundle.vim/,,
https://github.com/esneider/YUNOcommit.vim/,,
https://github.com/vim-scripts/YankRing.vim/,,
https://github.com/ycm-core/YouCompleteMe/,,
https://github.com/vim-scripts/a.vim/,,
https://github.com/mileszs/ack.vim/,,
https://github.com/eikenb/acp/,,
https://github.com/aznhe21/actions-preview.nvim/,,
https://github.com/aaronhallaert/advanced-git-search.nvim/,,
https://github.com/Mofiqul/adwaita.nvim/,,
https://github.com/stevearc/aerial.nvim/,,
https://github.com/Numkil/ag.nvim/,,
https://github.com/derekelkins/agda-vim/,,
https://github.com/emmanueltouzery/agitator.nvim/,,
https://github.com/aduros/ai.vim/,,
https://github.com/joshuavial/aider.nvim/,,
https://github.com/slashmili/alchemist.vim/,,
https://github.com/dense-analysis/ale/,,
https://github.com/vim-scripts/align/,,
https://github.com/Vonr/align.nvim/,,
https://github.com/goolord/alpha-nvim/,,
https://github.com/anuvyklack/animation.nvim/,,
https://github.com/Olical/aniseed/,,
https://github.com/pearofducks/ansible-vim/,,
https://github.com/ckarnell/antonys-macro-repeater/,,
https://github.com/solarnz/arcanist.vim/,,
https://github.com/vim-scripts/argtextobj.vim/,,
https://github.com/otavioschwanck/arrow.nvim/,,
https://github.com/AstroNvim/astrocore/,,
https://github.com/AstroNvim/astrolsp/,,
https://github.com/AstroNvim/astrotheme/,,
https://github.com/AstroNvim/astroui/,,
https://github.com/prabirshrestha/async.vim/,,
https://github.com/prabirshrestha/asyncomplete-buffer.vim/,,
https://github.com/prabirshrestha/asyncomplete-file.vim/,,
https://github.com/prabirshrestha/asyncomplete-lsp.vim/,,
https://github.com/prabirshrestha/asyncomplete-omni.vim/,,
https://github.com/prabirshrestha/asyncomplete-tags.vim/,,
https://github.com/prabirshrestha/asyncomplete-ultisnips.vim/,,
https://github.com/prabirshrestha/asyncomplete.vim/,,
https://github.com/skywind3000/asyncrun.vim/,,
https://github.com/skywind3000/asynctasks.vim/,,
